28/09/2018,THOMAS OGT/2017          WILLIES                   CR,8
27/09/2018,TINY REBEL BARS          CARDIFF                   ))),-3.8
27/09/2018,TINY REBEL BARS          CARDIFF                   ))),-9.8
27/09/2018,BOOTS 0323               CARDIFF                   ))),-3.39
27/09/2018,METHOD4 LIMI              CR,"1,639.78"
26/09/2018,YO SUSHI                 CARDIFF                   ))),-8.7
25/09/2018,SUBWAY                   CARDIFF                   ))),-3.8
24/09/2018,INT'L 0045197223         PAYPAL *GROUPONINT       4029357733                VIS,13.99
24/09/2018,Andy                     Cream                     BP,-20
24/09/2018,Jordan Cooke             Mula                      BP,-25
24/09/2018,TESCO STORES 6786        CARDIFF                   ))),-4
24/09/2018,BOOTLEGGER BARS LI       CARDIFF                   ))),-5
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-5.99
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-2.79
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-2.79
24/09/2018,GATEKEEPER               CARDIFF                   ))),-3.29
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-3.29
24/09/2018,GATEKEEPER               CARDIFF                   ))),-3.29
24/09/2018,BAGUETTY JUNCTION        CARDIFF                   ))),-4
24/09/2018,Joseph Bignell            CR,8
24/09/2018,WILLIAMSON JA            NIGHT OUT NAUGHTY         CR,8
23/09/2018,"CASH BNKM    SEP23       SHAAM NIGHT,@18:27        ATM",-30
22/09/2018,CASH NOTEMAC SEP22       NOTEMAC  CHG 1.85        NAS CONVENIE@14:36        ATM,-31.85
21/09/2018,Andy                     Cream                     BP,-40
21/09/2018,INT'L 0038701328         NETFLIX.COM              866-716-0414              VIS,-5.99
21/09/2018,TESCO STORES 5703        CARDIFF                   ))),-5.43
21/09/2018,BOOTS 0323               CARDIFF                   ))),-3.39
21/09/2018,PAYPAL *TRAINLINE        35314369001               VIS,-50
20/09/2018,POSTOFFICE SELFSER       CARDIFF                   ))),-2.16
20/09/2018,STAGECOACH SERVICE       STOCKPORT                 VIS,-6
19/09/2018,POUNDLAND LTD 1290       CARDIFF                   ))),-1
19/09/2018,SUBWAY                   CARDIFF                   ))),-4.8
18/09/2018,WH SMITH                 CARDIFF                   ))),-2
17/09/2018,INT'L 0015623130         PAYPAL *INSTANTGAM       4029357733                VIS,-3.4
17/09/2018,THE SMOKE HAUS           CARDIFF                   ))),-15.95
17/09/2018,TESCO STORES 6786        CARDIFF                   ))),-6.89
17/09/2018,SUPERBOWL UK CARDI       CARDIFF                   ))),-11.2
17/09/2018,BOOTS 0323               CARDIFF                   ))),-3.39
17/09/2018,TESCO STORES 6360        CARDIFF                   ))),-10.2
17/09/2018,BARBURRITO CARDIFF       CARDIFF                   VIS,-5.44
14/09/2018,CASH BNK IRE SEP14       PO BROADWAY @22:00        ATM,-50
14/09/2018,CINEWORLD CAR AT         0844 815 7747             ))),-6.9
14/09/2018,LIDL UK  CARDIFF         CARDIFF                   ))),-28.06
14/09/2018,CASH RB SCOT SEP14       TESCO CAR TR@12:53        ATM,-10
13/09/2018,POUNDLAND LTD 1290       CARDIFF                   ))),-2
13/09/2018,TESCO STORES 6786        CARDIFF                   ))),-2.99
13/09/2018,BOOTS 0323               CARDIFF                   ))),-6.78
13/09/2018,CINEWORLD                0333 003 3444             VIS,-13.4
13/09/2018,JD SPORTS GYMS            DD,-19.99
12/09/2018,TESCO STORES 6786        CARDIFF                   ))),-3
12/09/2018,TESCO STORES 5703        CARDIFF                   ))),-5.3
12/09/2018,VODAFONE LTD              DD,-14.15
11/09/2018,SUBWAY                   CARDIFF                   ))),-4.8
11/09/2018,TESCO STORES 6786        CARDIFF                   ))),-3
11/09/2018,ALMAMLAKA                CARDIFF                   ))),-2.5
10/09/2018,TESCO STORES 5703        CARDIFF                   ))),-6
10/09/2018,BURGER KING              QUEEN STREET              ))),-5.12
