01/10/2018,SLUG CARDIFF             CARDIFF                   ))),-10.25
01/10/2018,TESCO STORES 5994        SOUTH GLAMORG             ))),-1
01/10/2018,CARDIFF - PRYZM          CARDIFF                   ))),-4.25
01/10/2018,CARDIFF - PRYZM          CARDIFF                   ))),-7.4
01/10/2018,CARDIFF - PRYZM          CARDIFF                   ))),-4.25
01/10/2018,CARDIFF - PRYZM          CARDIFF                   ))),-6.15
01/10/2018,ALMAMLAKA                CARDIFF                   ))),-5
01/10/2018,TESCO STORES 5310        CARDIFF                   ))),-1.3
01/10/2018,BURGER KING              QUEEN STREET              ))),-8.22
01/10/2018,KONGS                    CARDIFF                   ))),-3.8
01/10/2018,CASH BNKM    OCT01       BT PHONE/ATM@12:12        ATM,-10
01/10/2018,JARVIS M A R             SPOTIFY                   SO,-2.5
30/09/2018,CASH RB SCOT SEP30       TESCO S RD C@12:45        ATM,-10
28/09/2018,CURADO BAR               CARDIFF                   ))),-20.5
28/09/2018,"Jakey Berg               Drugs, pugs n hugs        BP",-8.5
28/09/2018,THOMAS OGT/2017          WILLIES                   CR,8
27/09/2018,TINY REBEL BARS          CARDIFF                   ))),-3.8
27/09/2018,TINY REBEL BARS          CARDIFF                   ))),-9.8
27/09/2018,BOOTS 0323               CARDIFF                   ))),-3.39
27/09/2018,METHOD4 LIMI              CR,639.79
27/09/2018,METHOD4 LIMI              CR,999.99
26/09/2018,YO SUSHI                 CARDIFF                   ))),-8.7
25/09/2018,SUBWAY                   CARDIFF                   ))),-3.8
24/09/2018,INT'L 0045197223         PAYPAL *GROUPONINT       4029357733                VIS,13.99
24/09/2018,Andy                     Cream                     BP,-20
24/09/2018,Jordan Cooke             Mula                      BP,-25
24/09/2018,TESCO STORES 6786        CARDIFF                   ))),-4
24/09/2018,BOOTLEGGER BARS LI       CARDIFF                   ))),-5
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-5.99
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-2.79
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-2.79
24/09/2018,GATEKEEPER               CARDIFF                   ))),-3.29
24/09/2018,GREAT WESTERN            CARDIFF                   ))),-3.29
